eighteen,attempt_to_see_the_birds,successful,date_first_seen,number_of_trips,home_post_code,mode_of_transportation,car_pool,car_pool_size,sole_reason,overnight?,number_of_nights,accomodation,accomodation_post_codes,eating_type,dining_type,how_many_dine_outs,first_time_seeing_terns,petrol_cost,dining_cost,accomodation_cost,airfare_cost,organizational_affiliation,often_chase_rare_birds,additional_birding,additional_ecotourism,age,sex,marital_status,hourly_wage,5$_donation,25$_donation,50$_donation,75$_donation,100$_donation,time_at_site,education,employment_status,find_out_about_terns,years_birding,birding_experience,submit_to_eBird,submit_to_Birddata,how_many_birders_did_you_see,Indicate_Facebook
Yes,Yes,Yes,14/01/2018,Twice,4055,Private Vehicle,No,,Yes,Yes,2,Hotel/Motel,2450,Ate out,Fast food,2,Yes,150,100,260,,"BirdLife Australia, Professional ornithological Society",1-3 times,Yes,No,43,Female,,50,Yes,Yes,Yes,Yes,Yes,2.6,Postgraduate,Employed - full time,Australian Twitchers Facebook page,10,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,3,No
Yes,Yes,Yes,28/12/2017,Once,4380,Private Vehicle,Yes,2,Yes,Yes,1,Camping,2453,Both: made own meals and ate out.,Fast food,2,Yes,250,100,15,,"BirdLife Australia, Local birding club",1-3 times,Yes,Yes,46,Male,Married,25,Yes,Yes,No,No,No,2,High School,Employed - full time,"Australian Twitchers Facebook page, Other Facebook page, Birding Aus Listservs",38,Expert birder (can identify >300 Australian bird species without a field guide),No,No,2,Yes
Yes,Yes,Yes,22/12/2017,Twice,2640,Private Vehicle,Yes,3,Yes,No,,,,Ate out,Fast food,4,No,90,90,,,BirdLife Australia,3-7 times,No,No,72,Male,Married,,Yes,Yes,Yes,Yes,Yes,4,Postgraduate,Retired,Australian Twitchers Facebook page,55,Expert birder (can identify >300 Australian bird species without a field guide),No,No,2,No
Yes,Yes,Yes,11/12/2017,Once,2066,Private Vehicle,Yes,4,Yes,No,,,,Ate out,Fast food,1,Yes,,10,,,BirdLife Australia,1-3 times,Yes,Yes,20,Male,Single,,Yes,Yes,No,No,No,4,University,Student,"Australian Twitchers Facebook page, Text/phone call",10,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,7,Yes
Yes,Yes,Yes,6/01/2018,Once,4501,Private Vehicle,Yes,3,Yes,Yes,1,Camping,,Made own meals,,,Yes,,50,0,,I don't belong to any type of bird-related organization,1-3 times,Yes,No,54,Male,Married,100,Yes,Yes,No,No,No,8,University,Employed - full time,Other Facebook page,30,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,Yes
Yes,Yes,Yes,14/12/2017,Once,2480,Private Vehicle,No,,Yes,No,,,,Ate out,Fast food,2,No,100,30,,,BirdLife Australia,1-3 times,No,No,29,Male,Married,40,Yes,Yes,No,No,No,2,Postgraduate,Self-employed,Australian Twitchers Facebook page,20,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,3,Yes
Yes,Yes,Yes,20/12/2017,Once,2120,Private Vehicle,Yes,2,Yes,No,,,,Both: made own meals and ate out.,Fast food,2,Yes,50,50,,,BirdLife Australia,1-3 times,No,No,46,Male,Married,,Yes,Yes,Yes,No,No,7,University,Self-employed,Australian Twitchers Facebook page,18,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,Yes
Yes,Yes,No,20/01/2018,Once,2566,Private Vehicle,No,,Yes,Yes,3,Camping,2325; 2428,Both: made own meals and ate out.,"Fast food, Sit down",4,Yes,150,100,24,,I don't belong to any type of bird-related organization,3-7 times,Yes,Yes,18,Male,Single,13,Yes,Yes,Yes,Yes,No,1.5,High School,Employed - full time,"Australian Twitchers Facebook page, Other Facebook page",7,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,1,No
Yes,Yes,Yes,15/12/2017,Once,3105,"Private Vehicle, Train",Yes,4,Yes,Yes,2,Hotel/Motel,2300; 2799,Both: made own meals and ate out.,Sit down,2,Yes,,100,80,,BirdLife Australia,3-7 times,Yes,No,21,Male,Single,,Yes,Yes,Yes,Yes,Yes,5,University,Student,Australian Twitchers Facebook page,10,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,10,No
Yes,Yes,Yes,5/01/2018,Once,2747,Private Vehicle,No,,Yes,No,,,,Made own meals,,,Yes,15,,,,BirdLife Australia,1-3 times,Yes,No,50,Male,Married,,Yes,No,No,No,No,3,Postgraduate,Self-employed,Australian Twitchers Facebook page,2,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,3,Yes
Yes,Yes,Yes,16/12/2017,Once,3032,Private Vehicle,Yes,2,Yes,No,,,,Ate out,Fast food,2,Yes,70,40,,,I don't belong to any type of bird-related organization,1-3 times,No,No,67,Male,Divorced,50,Yes,No,No,No,No,4,University,Self-employed,Text/phone call,55,Expert birder (can identify >300 Australian bird species without a field guide),No,No,20,No
Yes,Yes,Yes,26/12/2017,Once,2346,Private Vehicle,Yes,1,No,Yes,5,Friends/relatives home,2446,Made own meals,,,Yes,10,,,,"I don't belong to any type of bird-related organization, Ebird",Never,Yes,No,43,Male,Married,30,Yes,No,No,No,No,1,University,Employed - full time,Text/phone call,30,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,2,No
Yes,Yes,Yes,18/12/2017,Once,2093,Private Vehicle,Yes,2,Yes,No,,,,Ate out,"Fast food, Sit down",2,Yes,40,20,,,BirdLife Australia,1-3 times,Yes,No,40,Male,Married,30,Yes,No,No,No,No,3,High School,Employed - full time,Australian Twitchers Facebook page,15,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,6,No
Yes,Yes,Yes,12/12/2017,Twice,2870,Private Vehicle,No,,Yes,Yes,2,Camping,,Both: made own meals and ate out.,Fast food,2,Yes,200,120,100,,BirdLife Australia,3-7 times,Yes,Yes,60,Male,Married,,Yes,Yes,Yes,Yes,Yes,4,Postgraduate,Retired,Australian Twitchers Facebook page,6,Expert birder (can identify >300 Australian bird species without a field guide),No,No,25,Yes
Yes,Yes,Yes,4/01/2018,Once,3056,"Rental Vehicle, Plane",Yes,2,Yes,Yes,3,Hotel/Motel,2430; 2318,Both: made own meals and ate out.,"Fast food, Sit down",3,Yes,90,140,400,190,BirdLife Australia,1-3 times,Yes,No,29,Male,Married,28,Yes,Yes,Yes,Yes,Yes,3,Postgraduate,Employed - full time,Australian Twitchers Facebook page,22,Expert birder (can identify >300 Australian bird species without a field guide),No,No,6,Yes
Yes,Yes,Yes,14/12/2017,Once,4567,Private Vehicle,No,,Yes,No,,,,Both: made own meals and ate out.,Fast food,1,Yes,140,40,,,BirdLife Australia,1-3 times,Yes,No,44,Male,Single,150,Yes,Yes,Yes,Yes,Yes,3,Postgraduate,Employed - full time,Australian Twitchers Facebook page,30,Expert birder (can identify >300 Australian bird species without a field guide),No,No,4,Yes
Yes,Yes,Yes,1/01/2018,Once,4122,Private Vehicle,Yes,2,Yes,Yes,1,Hotel/Motel,2430,Ate out,"Fast food, Sit down",3,Yes,200,70,80,,"BirdLife Australia, Local birding club",3-7 times,Yes,No,63,Female,Single,1,Yes,Yes,Yes,Yes,Yes,1.5,University,Retired,Australian Twitchers Facebook page,11,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,0,Yes
Yes,Yes,Yes,25/01/2018,Once,4520,Private Vehicle,Yes,3,No,Yes,1,Camping,2453,Both: made own meals and ate out.,Fast food,1,No,20,10,0,0,"Local birding club, Professional ornithological Society",3-7 times,Yes,No,24,Male,Single,,Yes,Yes,Yes,No,No,2,University,Student,Australian Twitchers Facebook page,15,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,2,No
Yes,Yes,Yes,13/12/2017,Once,2037,Private Vehicle,Yes,4,Yes,No,,,,Ate out,Sit down,1,Yes,,,,,,,Yes,No,,Male,Single,,,,,,,4,,,"Australian Twitchers Facebook page, Other Facebook page",,Expert birder (can identify >300 Australian bird species without a field guide),No,No,,Yes
Yes,Yes,Yes,3/01/2018,Twice,3041,Private Vehicle,Yes,2,Yes,Yes,2,Hotel/Motel,2430,Ate out,Sit down,3,Yes,250,120,310,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,63,Male,Married,1,Yes,Yes,No,No,No,3,High School,Retired,Australian Twitchers Facebook page,15,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,No
Yes,Yes,Yes,12/01/2018,Once,4814,Private Vehicle,No,,No,Yes,7,Friends/relatives home,2077; 2444; 2264,Both: made own meals and ate out.,"Fast food, Sit down",3,Yes,100,60,0,250,"BirdLife Australia, Local birding club, Professional ornithological Society, Birds Queensland",1-3 times,No,No,45,Male,Single,,Yes,No,No,No,No,3,Postgraduate,Unemployed,Australian Twitchers Facebook page,10,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),Yes,No,1,Yes
Yes,Yes,Yes,8/12/2017,Once,3190,Private Vehicle,Yes,4,Yes,Yes,1,Hotel/Motel,2295,Ate out,"Fast food, Sit down",4,Yes,300,70,90,0,"BirdLife Australia, Local birding club",1-3 times,Yes,No,48,Female,Married,47,Yes,Yes,No,No,No,3,Postgraduate,Employed - full time,Australian Twitchers Facebook page,15,Expert birder (can identify >300 Australian bird species without a field guide),No,No,20,Yes
Yes,Yes,Yes,27/12/2017,Once,4130,Private Vehicle,No,,Yes,Yes,1,Hotel/Motel,2430,Ate out,Sit down,4,Yes,150,100,150,,"BirdLife Australia, Professional ornithological Society",>10 times a year,No,No,69,Male,Married,,Yes,Yes,Yes,Yes,Yes,3,Postgraduate,Retired,"Australian Twitchers Facebook page, Birding Aus Listservs",60,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,No
Yes,Yes,Yes,5/01/2018,Once,2071,Private Vehicle,Yes,2,Yes,No,,,,Ate out,Sit down,1,Yes,50,25,0,0,BirdLife Australia,1-3 times,Yes,No,59,Male,Married,1500,Yes,Yes,Yes,Yes,Yes,4,High School,Employed - full time,Australian Twitchers Facebook page,35,Expert birder (can identify >300 Australian bird species without a field guide),No,No,5,Yes
Yes,Yes,Yes,10/12/2017,Once,3019,Private Vehicle,Yes,4,Yes,Yes,1,Hotel/Motel,2300,Ate out,"Fast food, Sit down",6,Yes,,100,70,,BirdLife Australia,>10 times a year,Yes,No,54,Male,Single,150,Yes,Yes,Yes,Yes,Yes,4,University,Employed - full time,Australian Twitchers Facebook page,6,Expert birder (can identify >300 Australian bird species without a field guide),No,No,20,Yes
Yes,Yes,Yes,11/12/2017,Twice,2037,Private Vehicle,Yes,4,No,No,,,,Both: made own meals and ate out.,Fast food,2,Yes,100,15,0,0,BirdLife Australia,1-3 times,Yes,No,19,Male,Single,20,Yes,Yes,Yes,No,No,8,High School,Student,Australian Twitchers Facebook page,13,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,7,Yes
Yes,Yes,Yes,20/12/2017,Once,3101,"Rental Vehicle, Plane, Walk",Yes,4,Yes,No,,,,Ate out,"Fast food, Sit down",2,Yes,,,0,,BirdLife Australia,3-7 times,No,No,68,Female,Married,,Yes,Yes,Yes,Yes,Yes,2,Postgraduate,Retired,"Text/phone call, Birding Aus Listservs",60,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,No
Yes,Yes,Yes,4/01/2018,Once,3228,Private Vehicle,Yes,2,Yes,Yes,2,Camping,,Both: made own meals and ate out.,Fast food,4,Yes,,100,,,BirdLife Australia,1-3 times,Yes,No,30,Male,Married,50,Yes,Yes,Yes,Yes,Yes,3,Postgraduate,Employed - full time,Australian Twitchers Facebook page,15,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,7,No
Yes,Yes,Yes,29/12/2017,Once,4055,Private Vehicle,Yes,2,Yes,Yes,2,Camping,2426; 2440,Both: made own meals and ate out.,"Fast food, Sit down",3,Yes,65,40,,,"Local birding club, Professional ornithological Society",1-3 times,Yes,No,69,Female,Married,,Yes,Yes,Yes,Yes,Yes,2,Other,Retired,Australian Twitchers Facebook page,20,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,1,No
Yes,Yes,Yes,17/12/2017,Twice,2074,Private Vehicle,Yes,2,Yes,No,,,,Both: made own meals and ate out.,"Fast food, Sit down",3,Yes,50,50,0,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,57,Male,Single,38,No,No,No,No,No,6,University,Employed - full time,"Australian Twitchers Facebook page, Text/phone call, email",41,Expert birder (can identify >300 Australian bird species without a field guide),No,No,12,No
Yes,Yes,Yes,22/12/2017,Once,2446,Private Vehicle,No,,Yes,No,,,,Made own meals,,,Yes,21,,,,eBird,1-3 times,Yes,No,53,Male,Single,60,Yes,No,No,No,No,2.5,Postgraduate,Employed - part time,Other,40,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,7,No
Yes,Yes,Yes,17/12/2017,Twice,4555,Private Vehicle,No,,Yes,Yes,1,Camping,2430,Made own meals,,,Yes,236,20,0,0,"BirdLife Australia, Local birding club",1-3 times,No,No,77,Female,Single,,Yes,Yes,No,No,No,3,Postgraduate,Retired,Australian Twitchers Facebook page,27,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,No
Yes,Yes,No,2/01/2018,Once,2830,Private Vehicle,Yes,2,No,No,,,,Made own meals,,,Yes,30,,,,"Local birding club, NSW Birding Club (NSW Bird Atlassers)",Never,Yes,Yes,40,Male,Married,,Yes,Yes,No,No,No,1,Postgraduate,Employed - full time,"Other Facebook page, email",30,Expert birder (can identify >300 Australian bird species without a field guide),No,No,5,No
Yes,Yes,Yes,8/01/2018,Once,2526,Private Vehicle,No,,No,Yes,3,Friends/relatives home,2430,Both: made own meals and ate out.,Sit down,1,Yes,90,80,,,Local birding club,3-7 times,Yes,No,59,Male,Married,45,Yes,Yes,Yes,Yes,Yes,2,High School,Employed - full time,"Australian Twitchers Facebook page, Other",4,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),Yes,No,2,Yes
Yes,Yes,Yes,11/12/2017,Twice,2113,Private Vehicle,Yes,4,Yes,No,,,,Ate out,"Fast food, Sit down",2,Yes,60,25,0,,BirdLife Australia,1-3 times,Yes,No,22,Male,Single,23,Yes,Yes,Yes,No,No,10,University,Student,Australian Twitchers Facebook page,11,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,20,Yes
Yes,Yes,Yes,1/01/2018,Once,2031,Private Vehicle,No,,No,Yes,1,Hotel/Motel,2430,Both: made own meals and ate out.,"Fast food, Sit down",4,Yes,100,250,175,,"BirdLife Australia, Local birding club, Professional ornithological Society",1-3 times,Yes,Yes,56,Female,Married,1,Yes,No,No,No,No,3,Postgraduate,Student,Australian Twitchers Facebook page,6,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,8,Yes
Yes,Yes,Yes,3/01/2018,Once,2778,Private Vehicle,No,,Yes,Yes,1,Hotel/Motel,2430,Ate out,Sit down,4,Yes,65,50,79,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,56,Male,Married,75,Yes,Yes,No,No,No,5,High School,Employed - full time,Australian Twitchers Facebook page,28,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,10,No
Yes,Yes,Yes,30/12/2017,Once,3657,Private Vehicle,No,,Yes,Yes,1,Hotel/Motel,2430,Ate out,Sit down,1,Yes,350,100,120,,BirdLife Australia,7-10 times,No,No,34,Male,Married,40,Yes,Yes,Yes,Yes,Yes,2,Postgraduate,Employed - full time,Australian Twitchers Facebook page,28,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,6,Yes
Yes,Yes,Yes,11/12/2017,Three times or more,2444,Private Vehicle,Yes,3,Yes,No,,,,Made own meals,,,Yes,80,0,0,,"BirdLife Australia, Local birding club, eBird",1-3 times,Yes,No,71,Male,Married,15,Yes,Yes,Yes,Yes,Yes,10,High School,Retired,Text/phone call,42,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,14,No
Yes,Yes,Yes,8/01/2018,Once,2230,Private Vehicle,Yes,3,Yes,No,,,,Ate out,Fast food,2,Yes,80,60,,,BirdLife Australia,1-3 times,Yes,No,52,Male,Married,120,Yes,Yes,No,No,No,1.5,Postgraduate,Self-employed,"Australian Twitchers Facebook page, Other Facebook page",25,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,5,No
Yes,Yes,Yes,8/01/2018,Once,2081,Private Vehicle,Yes,3,Yes,No,,,,Ate out,Fast food,1,Yes,,10,0,,BirdLife Australia,1-3 times,Yes,No,56,Male,Married,100,Yes,Yes,Yes,Yes,Yes,60,University,Self-employed,Other,20,Expert birder (can identify >300 Australian bird species without a field guide),No,No,3,No
Yes,Yes,Yes,27/12/2017,Once,2251,Private Vehicle,Yes,2,Yes,No,,,,Ate out,Fast food,2,Yes,60,25,0,,"BirdLife Australia, Local birding club, Professional ornithological Society",1-3 times,No,No,32,Female,Married,30,Yes,Yes,No,No,No,1.5,Postgraduate,Employed - part time,Australian Twitchers Facebook page,15,Expert birder (can identify >300 Australian bird species without a field guide),No,No,14,No
Yes,Yes,Yes,19/12/2017,Once,2535,Private Vehicle,Yes,2,Yes,No,,,,Both: made own meals and ate out.,Fast food,1,Yes,50,25,0,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,61,Female,Married,,Yes,Yes,Yes,Yes,Yes,3,University,Self-employed,Australian Twitchers Facebook page,20,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),Yes,No,8,Yes
Yes,Yes,Yes,28/12/2017,Once,2250,Private Vehicle,Yes,2,Yes,No,,,,Made own meals,,,Yes,,,,,"BirdLife Australia, Local birding club, NSW birding",1-3 times,No,No,63,Female,Married,18,Yes,Yes,Yes,Yes,Yes,2,High School,Employed - part time,Australian Twitchers Facebook page,15,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,Yes
Yes,Yes,Yes,8/01/2018,Once,2077,Business vehicle,Yes,3,Yes,No,,,,Both: made own meals and ate out.,Fast food,1,Yes,,20,0,0,"BirdLife Australia, Local birding club, Professional ornithological Society",1-3 times,Yes,Yes,46,Male,Married,40,Yes,Yes,Yes,No,No,2,University,Employed - full time,Other,30,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,No
Yes,Yes,Yes,12/12/2017,Three times or more,2444,Private Vehicle,Yes,2,Yes,No,,,,Made own meals,,,Yes,200,0,0,0,"BirdLife Australia, Local birding club",3-7 times,Yes,No,72,Male,Married,200,Yes,Yes,Yes,Yes,Yes,10,Postgraduate,Self-employed,Text/phone call,12,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,40,No
Yes,Yes,Yes,3/01/2018,Once,2615,Private Vehicle,Yes,2,Yes,Yes,3,Hotel/Motel,2430; 2318,Ate out,Sit down,10,Yes,250,350,300,,"BirdLife Australia, Local birding club",3-7 times,Yes,No,62,Female,Married,,Yes,Yes,Yes,Yes,Yes,6,Postgraduate,Retired,Australian Twitchers Facebook page,15,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,8,No
Yes,Yes,Yes,13/12/2017,Once,2478,Private Vehicle,No,,Yes,Yes,1,Holiday flat/unit,2430,Both: made own meals and ate out.,Fast food,1,Yes,140,30,160,,"BirdLife Australia, Local birding club",1-3 times,Yes,Yes,60,Female,Single,,Yes,Yes,Yes,No,No,2,Postgraduate,Retired,"Australian Twitchers Facebook page, Text/phone call, email",7,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,4,Yes
Yes,Yes,Yes,29/12/2017,Once,4053,Private Vehicle,Yes,2,Yes,Yes,3,Camping,2426; 2440,Both: made own meals and ate out.,"Fast food, Sit down",4,Yes,100,50,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,48,Female,Married,150,Yes,Yes,Yes,Yes,Yes,3,Postgraduate,Employed - full time,Text/phone call,20,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,1,No
Yes,Yes,Yes,23/12/2017,Once,4152,Private Vehicle,Yes,4,Yes,No,,,,Both: made own meals and ate out.,Sit down,1,Yes,50,30,,,I don't belong to any type of bird-related organization,1-3 times,Yes,No,26,Male,Married,30,Yes,Yes,No,No,No,2,Postgraduate,Employed - part time,"Australian Twitchers Facebook page, Text/phone call",5,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,6,No
Yes,Yes,Yes,12/12/2017,Once,2478,Private Vehicle,No,,Yes,Yes,1,Hotel/Motel,2448,Ate out,"Fast food, Sit down",4,Yes,100,100,130,,"BirdLife Australia, Local birding club, Australian Seabird Rescue",1-3 times,Yes,No,45,Female,Single,30,Yes,Yes,Yes,No,No,4,,Employed - full time,Australian Twitchers Facebook page,15,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,12,Yes
Yes,Yes,Yes,12/01/2018,Once,3132,Private Vehicle,Yes,3,Yes,No,,,,Ate out,Sit down,1,Yes,25,80,0,,BirdLife Australia,1-3 times,Yes,No,57,Male,Married,60,Yes,Yes,Yes,No,No,2,Postgraduate,Employed - full time,Australian Twitchers Facebook page,25,Expert birder (can identify >300 Australian bird species without a field guide),No,No,5,Yes
Yes,Yes,Yes,4/01/2018,Once,3116,"Rental Vehicle, Plane",No,,Yes,Yes,1,Hotel/Motel,2287,Ate out,Fast food,4,Yes,60,50,110,200,I don't belong to any type of bird-related organization,3-7 times,Yes,No,27,Male,Single,25,Yes,Yes,Yes,Yes,Yes,2,Other,Employed - full time,Australian Twitchers Facebook page,6,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,6,No
Yes,Yes,Yes,29/12/2017,Once,2602,Private Vehicle,Yes,3,No,Yes,1,Camping,,Made own meals,,,Yes,,,,,Local birding club,1-3 times,Yes,No,29,Male,Single,70,Yes,No,No,No,No,1,Postgraduate,Self-employed,"Other Facebook page, Other",8,Expert birder (can identify >300 Australian bird species without a field guide),No,No,16,No
Yes,Yes,Yes,19/12/2017,Three times or more,2443,Private Vehicle,Yes,2,Yes,No,,,,Made own meals,,,Yes,45,,,,"BirdLife Australia, Local birding club",>10 times a year,Yes,No,70,Male,Married,1,Yes,No,No,No,No,11,University,Retired,Text/phone call,40,Expert birder (can identify >300 Australian bird species without a field guide),No,Yes,30,No
Yes,Yes,Yes,29/12/2017,Once,2500,Private Vehicle,Yes,5,Yes,No,,,,Ate out,Fast food,1,Yes,30,30,0,,BirdLife Australia,1-3 times,Yes,No,35,Male,Single,80,Yes,Yes,No,No,No,1.5,Postgraduate,Self-employed,Australian Twitchers Facebook page,16,Expert birder (can identify >300 Australian bird species without a field guide),No,No,16,No
Yes,Yes,Yes,18/12/2017,Once,2037,Private Vehicle,No,,Yes,No,,,,Both: made own meals and ate out.,Fast food,1,Yes,30,10,0,0,"BirdLife Australia, Local birding club",1-3 times,Yes,No,65,Female,Single,40,Yes,Yes,Yes,No,No,4,Postgraduate,Retired,Birding Aus Listservs,30,Expert birder (can identify >300 Australian bird species without a field guide),No,No,5,No
Yes,Yes,Yes,22/12/2017,Once,2444,Private Vehicle,No,,Yes,No,,,,Ate out,Fast food,2,Yes,20,25,,,"BirdLife Australia, Local birding club",>10 times a year,Yes,No,73,Male,Married,,Yes,No,No,No,No,2,High School,Retired,Text/phone call,50,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,9,Yes
Yes,Yes,Yes,17/12/2017,Once,2082,Private Vehicle,No,,Yes,No,,,,Ate out,Fast food,2,Yes,40,20,0,,SOSSA,1-3 times,Yes,No,50,Male,Married,,Yes,No,No,No,No,4,University,Employed - full time,Other,40,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,Yes
Yes,Yes,Yes,12/01/2018,Once,2774,Private Vehicle,No,,Yes,Yes,2,Hotel/Motel,2430,Ate out,Sit down,5,Yes,100,200,700,,"BirdLife Australia, Local birding club",3-7 times,Yes,No,61,Male,Married,50,Yes,Yes,Yes,Yes,Yes,6,Postgraduate,Self-employed,Birding Aus Listservs,30,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,No
Yes,Yes,Yes,22/01/2018,Twice,2038,"Rental Vehicle, Train, taxi",No,,Yes,Yes,1,Friends/relatives home,2444,Both: made own meals and ate out.,Sit down,1,Yes,20,15,0,185,BirdLife Australia,1-3 times,No,No,64,Female,Single,25,Yes,Yes,Yes,Yes,No,5,Postgraduate,Retired,"Text/phone call, Birding Aus Listservs",15,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,2,No
Yes,Yes,Yes,12/12/2017,Once,2299,Private Vehicle,Yes,3,Yes,No,,,,Made own meals,,,Yes,,,,,Local birding club,7-10 times,No,No,32,Male,Married,30,Yes,Yes,Yes,Yes,Yes,2,Postgraduate,Employed - full time,"Australian Twitchers Facebook page, Other Facebook page, Text/phone call, email",26,Expert birder (can identify >300 Australian bird species without a field guide),No,Yes,20,Yes
Yes,Yes,Yes,4/01/2018,Once,3127,"Rental Vehicle, Plane",Yes,2,Yes,Yes,3,Hotel/Motel,2430,Both: made own meals and ate out.,"Fast food, Sit down",3,Yes,120,150,210,190,BirdLife Australia,1-3 times,Yes,No,28,Female,Single,18.33,Yes,Yes,Yes,Yes,Yes,3,Postgraduate,Student,Other,25,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,5,Yes
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,31/12/2017,Once,2577,Private Vehicle,Yes,2,Yes,No,,,,Both: made own meals and ate out.,Fast food,1,Yes,55,25,,,"BirdLife Australia, Local birding club, Overseas ornithological Society, too",1-3 times,Yes,No,74,Male,Married,,Yes,Yes,Yes,Yes,Yes,3,Postgraduate,Retired,Australian Twitchers Facebook page,19,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,Yes
Yes,Yes,Yes,20/12/2017,Once,3079,"Rental Vehicle, Plane",Yes,4,Yes,No,,,,Ate out,"Fast food, Sit down",3,Yes,23,25,0,154,BirdLife Australia,1-3 times,Yes,No,67,Male,Married,70,Yes,Yes,Yes,Yes,No,4,University,Retired,"Australian Twitchers Facebook page, Text/phone call, email",45,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,12,Yes
