eighteen,attempt_to_see_the_birds,successful,date_first_seen,number_of_trips,home_post_code,mode_of_transportation,car_pool,car_pool_size,sole_reason,overnight?,number_of_nights,accomodation,accomodation_post_codes,eating_type,dining_type,how_many_dine_outs,first_time_seeing_terns,petrol_cost,dining_cost,accomodation_cost,airfare_cost,organizational_affiliation,often_chase_rare_birds,additional_birding,additional_ecotourism,age,sex,marital_status,hourly_wage,5$_donation,25$_donation,50$_donation,75$_donation,100$_donation,time_at_site,education,employment_status,find_out_about_terns,years_birding,birding_experience,submit_to_eBird,submit_to_Birddata,how_many_birders_did_you_see,Indicate_Facebook
Yes,Yes,Yes,7/01/2018,Once,2074,Private Vehicle,No,,No,No,,,,Both: made own meals and ate out.,Fast food,1,No,75,30,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,53,Male,Married,100,Yes,Yes,No,No,No,2.5,Postgraduate,Employed - full time,"Australian Twitchers Facebook page, Other Facebook page, Birding Aus Listservs",30,Expert birder (can identify >300 Australian bird species without a field guide),No,No,5,Yes
Yes,Yes,Yes,20/01/2018,Once,4103,Private Vehicle,No,,No,Yes,1,Camping,2430,Made own meals,,,Yes,75,40,28,,I don't belong to any type of bird-related organization,Never,Yes,No,38,Male,Married,35,No,No,No,No,No,2,Postgraduate,Student,"Australian Twitchers Facebook page, Other Facebook page, Text/phone call",15,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,0,Yes
Yes,Yes,Yes,28/12/2017,Twice,3437,Private Vehicle,No,,Yes,Yes,2,Hotel/Motel,2430,Ate out,"Fast food, Sit down",4,Yes,240,150,300,,BirdLife Australia,1-3 times,Yes,No,56,Male,Married,1,No,No,No,No,No,4,Postgraduate,Retired,"Australian Twitchers Facebook page, Other Facebook page",7,Expert birder (can identify >300 Australian bird species without a field guide),No,No,12,No
Yes,Yes,Yes,8/01/2018,Once,2477,Private Vehicle,No,,No,Yes,2,Friends/relatives home,2429,Both: made own meals and ate out.,Fast food,1,Yes,100,10,0,0,"BirdLife Australia, Local birding club, Several Facebook Bird Groups",1-3 times,Yes,No,61,Female,Married,35,Yes,Yes,Yes,No,No,2,Postgraduate,Employed - part time,"Australian Twitchers Facebook page, email",4,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,5,No
Yes,Yes,Yes,14/12/2017,Once,2032,Private Vehicle,Yes,4,Yes,No,,,,Ate out,Fast food,1,Yes,40,15,,,Local birding club,1-3 times,Yes,No,23,Female,Single,25,No,No,No,No,No,5,University,Employed - part time,"Other Facebook page, Text/phone call, Birding Aus Listservs",4,Expert birder (can identify >300 Australian bird species without a field guide),No,No,15,Yes
Yes,Yes,Yes,29/12/2017,Once,2602,Private Vehicle,Yes,3,No,Yes,5,Friends/relatives home,2428,Made own meals,,,Yes,,100,64,,"BirdLife Australia, Professional ornithological Society",3-7 times,Yes,No,27,Female,Single,16,Yes,Yes,Yes,Yes,Yes,1,University,Student,Australian Twitchers Facebook page,5,Expert birder (can identify >300 Australian bird species without a field guide),No,No,20,No
Yes,Yes,Yes,14/01/2018,Once,4884,Private Vehicle,No,,Yes,Yes,1,Hotel/Motel,2430,Ate out,Sit down,4,Yes,60,130,298,,"BirdLife Australia, Local birding club",1-3 times,Yes,Yes,65,Male,Married,35,Yes,Yes,No,No,No,2,University,Self-employed,"Australian Twitchers Facebook page, Other Facebook page, email, Birding Aus Listservs",55,Expert birder (can identify >300 Australian bird species without a field guide),No,No,0,Yes
Yes,Yes,Yes,16/12/2017,Once,2038,Private Vehicle,Yes,2,Yes,No,,,,Ate out,"Fast food, Sit down",2,No,120,40,,,BirdLife Australia,1-3 times,Yes,No,60,Male,,100,Yes,Yes,Yes,Yes,Yes,3,High School,Self-employed,Australian Twitchers Facebook page,50,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,12,No
Yes,Yes,Yes,28/12/2017,Once,2081,Private Vehicle,No,,No,Yes,4,Camping,2428,Both: made own meals and ate out.,Fast food,1,Yes,50,25,0,,I don't belong to any type of bird-related organization,Never,Yes,Yes,38,Male,Single,35,Yes,No,No,No,No,1,Postgraduate,Self-employed,Other,10,Amateur birder (can identify <100 Australian birds without using a field guide),No,No,19,No
Yes,Yes,Yes,16/12/2017,Twice,2428,Private Vehicle,No,,Yes,No,,,,Made own meals,,,Yes,25,0,0,0,"BirdLife Australia, Local birding club",Never,Yes,No,40,Male,Married,32,Yes,Yes,Yes,Yes,Yes,6,University,Employed - full time,"Australian Twitchers Facebook page, Other Facebook page, email",5,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,20,Yes
Yes,Yes,Yes,15/12/2017,Once,2460,Private Vehicle,Yes,3,Yes,No,,,,Both: made own meals and ate out.,Sit down,1,Yes,50,20,0,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,53,Male,Single,43,Yes,Yes,Yes,Yes,Yes,2,Postgraduate,Retired,Australian Twitchers Facebook page,48,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,20,Yes
Yes,Yes,Yes,27/01/2018,Three times or more,2536,Private Vehicle,Yes,1,No,Yes,2,"Hotel/Motel, Holiday flat/unit",,Ate out,"Fast food, Sit down",6,Yes,80,100,180,,Local birding club,1-3 times,Yes,No,31,Male,Single,32,Yes,Yes,No,No,No,6,Postgraduate,Employed - full time,Australian Twitchers Facebook page,31,Expert birder (can identify >300 Australian bird species without a field guide),No,No,3,Yes
Yes,Yes,Yes,13/12/2017,Once,4670,"Rental Vehicle, Plane, Train",Yes,2,Yes,Yes,1,Hotel/Motel,2430,Ate out,"Fast food, Sit down",4,No,,100,100,200,"BirdLife Australia, Local birding club",1-3 times,Yes,No,21,Male,Single,28,Yes,Yes,Yes,Yes,Yes,5,Postgraduate,Employed - full time,Australian Twitchers Facebook page,15,Expert birder (can identify >300 Australian bird species without a field guide),No,No,0,Yes
Yes,Yes,Yes,16/12/2017,Once,3028,Private Vehicle,Yes,4,Yes,Yes,1,Hotel/Motel,2295,Ate out,"Fast food, Sit down",5,Yes,250,80,75,,BirdLife Australia,1-3 times,No,No,63,Female,Single,39,Yes,Yes,Yes,Yes,Yes,4,Postgraduate,Employed - full time,Australian Twitchers Facebook page,30,Expert birder (can identify >300 Australian bird species without a field guide),No,No,20,Yes
Yes,Yes,Yes,18/12/2017,Once,2482,Private Vehicle,No,,No,No,,,,Both: made own meals and ate out.,Fast food,1,Yes,,10,,,Australian Young Birders,Never,Yes,No,21,Male,Single,30,No,No,No,No,No,2,High School,Employed - part time,Australian Twitchers Facebook page,15,Expert birder (can identify >300 Australian bird species without a field guide),No,No,2,No
Yes,Yes,Yes,13/12/2017,Twice,2446,Private Vehicle,Yes,4,Yes,No,,,,Both: made own meals and ate out.,Sit down,2,Yes,60,60,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,62,Female,,,Yes,Yes,Yes,Yes,No,6,Postgraduate,Retired,Other,25,Expert birder (can identify >300 Australian bird species without a field guide),No,No,25,No
Yes,Yes,Yes,15/12/2017,Once,2110,Private Vehicle,No,,Yes,No,,,,Made own meals,,,Yes,93,30,0,0,"BirdLife Australia, Local birding club",1-3 times,Yes,No,72,Female,Married,58,Yes,Yes,Yes,Yes,Yes,4,Postgraduate,Retired,"Text/phone call, email, Twitter",32,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,14,No
Yes,Yes,Yes,19/12/2017,Once,2300,Private Vehicle,No,,Yes,No,,,,Ate out,Fast food,2,No,100,50,,,Local birding club,>10 times a year,Yes,No,52,Male,Married,150,Yes,Yes,Yes,No,No,3,Postgraduate,Employed - full time,email,45,Expert birder (can identify >300 Australian bird species without a field guide),No,No,20,No
Yes,Yes,Yes,15/12/2017,Once,2305,Private Vehicle,Yes,2,Yes,No,,,,Ate out,Fast food,1,Yes,50,25,,,"BirdLife Australia, Local birding club",1-3 times,Yes,Yes,65,Male,Married,,Yes,Yes,Yes,Yes,Yes,2,Postgraduate,Retired,"Australian Twitchers Facebook page, Text/phone call, email",35,Expert birder (can identify >300 Australian bird species without a field guide),No,Yes,9,No
Yes,Yes,Yes,29/12/2017,Once,2304,Private Vehicle,Yes,2,Yes,No,,,,Made own meals,,,Yes,,,,,Local birding club,1-3 times,Yes,No,63,Male,Married,,Yes,Yes,No,No,No,5,University,Retired,"Australian Twitchers Facebook page, Other",59,Expert birder (can identify >300 Australian bird species without a field guide),No,Yes,10,No
Yes,Yes,Yes,28/12/2017,Once,4007,"Rental Vehicle, Plane",No,,Yes,Yes,1,Hotel/Motel,2430,Ate out,"Fast food, Sit down",3,Yes,60,100,300,250,BirdLife Australia,1-3 times,Yes,No,41,Male,Single,70,No,No,No,No,No,5,Postgraduate,Employed - part time,Birding Aus Listservs,3,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,12,No
Yes,Yes,Yes,11/12/2017,Twice,2261,Private Vehicle,Yes,4,Yes,No,,,,Both: made own meals and ate out.,Sit down,2,No,20,20,,,"BirdLife Australia, Local birding club, Professional ornithological Society",3-7 times,Yes,No,76,Male,Married,30,Yes,Yes,No,No,No,6,University,Retired,"Australian Twitchers Facebook page, Text/phone call",65,Expert birder (can identify >300 Australian bird species without a field guide),No,Yes,14,No
Yes,Yes,Yes,22/12/2017,Once,2318,"Private Vehicle, Walking",Yes,2,Yes,No,,,,Ate out,Fast food,1,Yes,40,10,0,0,Local birding club,1-3 times,Yes,No,25,Female,Single,23,Yes,Yes,No,No,No,6,Postgraduate,Employed - full time,Other,1,Amateur birder (can identify <100 Australian birds without using a field guide),No,No,10,Yes
Yes,Yes,Yes,15/01/2018,Twice,2352,Private Vehicle,No,,Yes,Yes,2,"Friends/relatives home, Hotel/Motel",2430; 2445,Ate out,Sit down,2,Yes,100,150,160,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,58,Male,Married,,Yes,Yes,Yes,No,No,6,Postgraduate,Employed - full time,"Other Facebook page, email",40,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,2,
Yes,Yes,Yes,17/01/2018,Once,4507,Private Vehicle,No,,Yes,Yes,1,Hotel/Motel,2464; 2430,Both: made own meals and ate out.,Fast food,3,Yes,250,90,140,,BirdLife Australia,1-3 times,Yes,Yes,68,Male,Married,,Yes,No,No,No,No,3,Postgraduate,Retired,Birding Aus Listservs,50,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,4,No
Yes,Yes,Yes,12/12/2017,Once,2285,Private Vehicle,Yes,2,Yes,No,,,,Made own meals,,,Yes,,,,,"BirdLife Australia, Local birding club",3-7 times,Yes,Yes,68,Male,Married,1,Yes,Yes,No,No,No,3,,Retired,Text/phone call,16,Expert birder (can identify >300 Australian bird species without a field guide),No,No,25,No
Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,12/12/2017,Once,4035,Private Vehicle,No,,No,No,,,,Made own meals,,,Yes,,,,,BirdLife Australia,Never,Yes,No,75,Male,Single,1,Yes,No,No,No,No,1,University,Retired,Text/phone call,70,Expert birder (can identify >300 Australian bird species without a field guide),No,No,6,No
Yes,Yes,Yes,21/12/2017,Once,4169,Private Vehicle,Yes,3,Yes,Yes,1,Hotel/Motel,2430,Both: made own meals and ate out.,Sit down,3,Yes,,,190,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,,Female,,,Yes,Yes,No,No,No,7,,,"Australian Twitchers Facebook page, Other",20,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,4,Yes
Yes,Yes,Yes,16/12/2017,Once,2602,Private Vehicle,No,,Yes,Yes,1,Camping,2430,Made own meals,,,Yes,150,,,,BirdLife Australia,Never,Yes,No,55,Male,Single,,No,No,No,No,No,4,Postgraduate,Employed - full time,Birding Aus Listservs,47,Expert birder (can identify >300 Australian bird species without a field guide),No,No,15,No
Yes,Yes,Yes,19/12/2017,Once,3065,Private Vehicle,No,,Yes,Yes,1,Holiday flat/unit,2430,Made own meals,,,Yes,0,0,230,0,"BirdLife Australia, Local birding club",1-3 times,Yes,No,,Female,,,Yes,Yes,No,No,No,3,Postgraduate,Retired,"Australian Twitchers Facebook page, Other Facebook page, Birding Aus Listservs",40,Expert birder (can identify >300 Australian bird species without a field guide),No,Yes,3,No
Yes,Yes,Yes,19/12/2017,Once,3065,Private Vehicle,No,,Yes,Yes,1,Holiday flat/unit,2430,Ate out,Sit down,6,Yes,150,160,230,,BirdLife Australia,3-7 times,Yes,No,70,Male,Married,1,Yes,Yes,Yes,Yes,Yes,5,Postgraduate,Retired,"Text/phone call, email",60,Expert birder (can identify >300 Australian bird species without a field guide),No,No,7,No
Yes,Yes,Yes,16/12/2017,Once,2640,Private Vehicle,Yes,3,Yes,Yes,1,Hotel/Motel,2430,Both: made own meals and ate out.,Sit down,1,Yes,100,80,70,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,64,Male,Married,40,Yes,Yes,Yes,Yes,Yes,5,Postgraduate,Retired,"Text/phone call, Birding Aus Listservs",18,Expert birder (can identify >300 Australian bird species without a field guide),No,No,4,No
Yes,Yes,Yes,13/01/2018,Twice,2065,Private Vehicle,Yes,3,Yes,No,,,,Made own meals,,,Yes,70,80,170,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,64,Male,Married,95,Yes,Yes,Yes,No,No,5,Postgraduate,Employed - full time,Australian Twitchers Facebook page,,Expert birder (can identify >300 Australian bird species without a field guide),No,No,,Yes
Yes,Yes,Yes,12/12/2017,Once,2324,Private Vehicle,No,,Yes,No,,,,Made own meals,,,Yes,30,,,,"BirdLife Australia, Local birding club",1-3 times,No,No,64,Male,Married,,Yes,Yes,Yes,Yes,Yes,2,Postgraduate,Retired,email,4,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,Yes,7,No
Yes,Yes,Yes,16/12/2017,Once,2516,Private Vehicle,No,,Yes,Yes,1,Hotel/Motel,2430,Ate out,"Fast food, Sit down",4,Yes,70,100,120,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,67,Male,Married,48,Yes,Yes,Yes,No,No,4,Postgraduate,Retired,Other,40,Expert birder (can identify >300 Australian bird species without a field guide),No,Yes,25,No
Yes,Yes,Yes,18/12/2017,Once,2250,Private Vehicle,Yes,4,Yes,No,,,,Made own meals,,,Yes,60,,,,"BirdLife Australia, Local birding club",Never,No,No,75,Male,Married,,Yes,Yes,No,No,No,2,High School,Retired,Other,5,Amateur birder (can identify <100 Australian birds without using a field guide),No,No,9,Yes
Yes,Yes,Yes,2/02/2018,Once,4556,Private Vehicle,No,,No,Yes,1,Holiday flat/unit,,Ate out,Sit down,1,No,100,50,50,,"BirdLife Australia, Professional ornithological Society",1-3 times,Yes,No,62,Male,Married,,Yes,Yes,Yes,Yes,Yes,6,High School,Retired,Text/phone call,50,Expert birder (can identify >300 Australian bird species without a field guide),No,No,3,No
Yes,Yes,Yes,3/02/2018,Once,3850,Private Vehicle,No,,Yes,Yes,3,Camping,2430,Both: made own meals and ate out.,Fast food,2,Yes,300,60,105,,BirdLife Australia,3-7 times,Yes,No,62,Male,Single,,Yes,Yes,No,No,No,7,Postgraduate,Retired,Australian Twitchers Facebook page,4,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),Yes,No,7,Yes
Yes,Yes,Yes,3/02/2018,Once,2127,Private Vehicle,Yes,2,Yes,Yes,1,Friends/relatives home,2256,Ate out,Fast food,1,Yes,73,13,0,,"BirdLife Australia, Local birding club",1-3 times,No,No,63,Male,Single,115,Yes,Yes,Yes,Yes,Yes,2.5,Postgraduate,Employed - full time,Other,20,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,5,No
Yes,Yes,Yes,3/02/2018,Once,2043,Private Vehicle,No,,No,Yes,1,Holiday flat/unit,2422,Both: made own meals and ate out.,Sit down,2,Yes,90,60,170,0,I don't belong to any type of bird-related organization,Never,Yes,Yes,,,,,Yes,Yes,Yes,No,No,2,,,Australian Twitchers Facebook page,0.5,Amateur birder (can identify <100 Australian birds without using a field guide),Yes,No,4,Yes
Yes,Yes,Yes,19/12/2017,Once,2230,Private Vehicle,No,,No,No,,,,Made own meals,,,Yes,50,0,0,,Local birding club,1-3 times,No,No,70,Male,Married,,Yes,Yes,No,No,No,2,University,Retired,Birding Aus Listservs,17,Expert birder (can identify >300 Australian bird species without a field guide),No,No,30,No
Yes,Yes,Yes,12/12/2017,Twice,2120,Private Vehicle,Yes,3,Yes,No,,,,Ate out,Fast food,2,Yes,60,30,,,Local birding club,3-7 times,Yes,No,,,,,No,No,No,No,No,7,,Retired,Australian Twitchers Facebook page,12,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),Yes,No,20,Yes
Yes,Yes,Yes,28/01/2018,Once,2350,Private Vehicle,No,,Yes,No,,,,Both: made own meals and ate out.,Sit down,1,Yes,20,15,0,0,"BirdLife Australia, Local birding club",1-3 times,Yes,Yes,26,Male,Married,38,Yes,Yes,No,No,No,2,Postgraduate,Employed - full time,Text/phone call,2,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),Yes,No,0,No
Yes,Yes,Yes,12/12/2017,Once,2011,Private Vehicle,No,,No,No,,,,Ate out,"Fast food, Sit down",1,Yes,30,20,0,0,"BirdLife Australia, Local birding club",>10 times a year,Yes,No,55,Male,Single,50,Yes,Yes,Yes,No,No,2,Postgraduate,Self-employed,"Text/phone call, Other",40,Expert birder (can identify >300 Australian bird species without a field guide),No,No,30,Yes
Yes,Yes,Yes,18/12/2017,Once,2036,Private Vehicle,No,,Yes,No,,,,Both: made own meals and ate out.,Fast food,1,Yes,120,15,0,0,"BirdLife Australia, Local birding club",1-3 times,Yes,No,30,Male,Married,60,Yes,Yes,No,No,No,6,Postgraduate,Employed - full time,Australian Twitchers Facebook page,25,Expert birder (can identify >300 Australian bird species without a field guide),No,No,15,No
Yes,Yes,Yes,16/12/2017,Once,3054,Private Vehicle,Yes,4,Yes,Yes,1,Hotel/Motel,,Ate out,"Fast food, Sit down",4,Yes,200,100,100,,BirdLife Australia,3-7 times,Yes,No,71,Female,Single,,Yes,Yes,Yes,Yes,Yes,4,Postgraduate,Retired,Australian Twitchers Facebook page,60,Expert birder (can identify >300 Australian bird species without a field guide),No,No,20,Yes
Yes,Yes,Yes,23/12/2017,Once,2075,Private Vehicle,No,,No,No,,,,Ate out,Sit down,1,Yes,0,,,,"BirdLife Australia, Local birding club",1-3 times,No,No,73,Male,Married,,Yes,Yes,Yes,Yes,Yes,0.75,University,Retired,email,46,Expert birder (can identify >300 Australian bird species without a field guide),No,No,4,No
Yes,Yes,Yes,7/02/2018,Once,2033,Private Vehicle,Yes,2,No,Yes,2,Hotel/Motel,2430,Both: made own meals and ate out.,Sit down,1,Yes,,65,305,,BirdLife Australia,1-3 times,Yes,No,77,Male,Married,1,Yes,Yes,No,No,No,3,Postgraduate,Retired,Birding Aus Listservs,70,Expert birder (can identify >300 Australian bird species without a field guide),No,No,12,No
Yes,Yes,Yes,27/12/2017,Once,4659,Private Vehicle,Yes,2,Yes,No,,,,Ate out,Fast food,2,Yes,30,40,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,61,Female,Married,1,Yes,Yes,No,No,No,2,High School,Retired,Other,25,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,6,No
Yes,Yes,Yes,24/12/2017,Twice,2049,Private Vehicle,Yes,2,Yes,No,,,,Ate out,Sit down,2,Yes,$15,$25,,,BirdLife Australia,1-3 times,Yes,No,24,Male,Single,30,Yes,Yes,Yes,Yes,Yes,4,University,Employed - part time,Australian Twitchers Facebook page,18,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,3,No
Yes,Yes,Yes,2/02/2018,Once,2777,Private Vehicle,No,,Yes,Yes,1,Camping,2430,Both: made own meals and ate out.,Fast food,4,Yes,200,60,40,,"BirdLife Australia, Local birding club",1-3 times,Yes,Yes,56,Male,Married,50,Yes,Yes,Yes,Yes,Yes,2,Postgraduate,Self-employed,Other,27,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,Yes,2,No
Yes,Yes,Yes,19/02/2018,Once,2321,Private Vehicle,No,,Yes,No,,,,Ate out,Sit down,1,Yes,$42,$14.10,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,63,Male,Married,,Yes,Yes,No,No,No,2,Postgraduate,Retired,email,4,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,5,No
Yes,Yes,Yes,18/02/2018,Once,3193,"Rental Vehicle, Plane",Yes,2,Yes,Yes,1,Hotel/Motel,2430,Ate out,"Fast food, Sit down",3,Yes,$70,$50,$200,800,BirdLife Australia,Never,No,No,49,Male,Married,42,Yes,Yes,Yes,No,No,5,University,Employed - full time,Other,39,Expert birder (can identify >300 Australian bird species without a field guide),No,Yes,0,No
Yes,Yes,Yes,23/02/2018,Once,2474,Private Vehicle,No,,Yes,Yes,1,Camping,2430,Both: made own meals and ate out.,Fast food,3,Yes,120,35,30,,"BirdLife Australia, Professional ornithological Society",1-3 times,Yes,No,67,Male,Single,,Yes,Yes,No,No,No,4,Postgraduate,Retired,Other,60,Expert birder (can identify >300 Australian bird species without a field guide),No,No,0,No
Yes,Yes,Yes,3/01/2018,Once,2902,Private Vehicle,Yes,3,Yes,Yes,1,Hotel/Motel,,Both: made own meals and ate out.,Sit down,1,Yes,74,35,50,,Local birding club,1-3 times,Yes,Yes,67,Female,Married,,Yes,Yes,Yes,No,No,1.5,Postgraduate,Retired,email,20,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),Yes,No,8,No
Yes,Yes,Yes,30/12/2017,Once,2452,Private Vehicle,Yes,5,Yes,Yes,1,Camping,2430,Ate out,"Fast food, Sit down",2,Yes,$50,$70,$0,,"BirdLife Australia, Local birding club, Professional ornithological Society, Once upon a time BirdLife Australia would have qualified as a professional ornithological society.",1-3 times,Yes,No,59,Male,Married,45,Yes,No,No,No,No,6,Postgraduate,Employed - part time,Other,50,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,No
Yes,Yes,Yes,17/02/2018,Once,3032,"Rental Vehicle, Plane",Yes,2,Yes,Yes,2,Hotel/Motel,2430,Ate out,Sit down,3,No,100,300,200,,BirdLife Australia,1-3 times,Yes,No,64,Male,Married,0.1,Yes,Yes,Yes,No,No,1,Postgraduate,Retired,"Australian Twitchers Facebook page, Birding Aus Listservs",32,Expert birder (can identify >300 Australian bird species without a field guide),No,No,4,No
Yes,Yes,Yes,17/02/2018,Once,3032,"Rental Vehicle, Plane",Yes,2,Yes,Yes,3,Hotel/Motel,2430; 2422,Ate out,Sit down,6,No,,$180,$130,,BirdLife Australia,1-3 times,Yes,No,61,Female,Married,,Yes,Yes,Yes,No,No,2,Postgraduate,Retired,Australian Twitchers Facebook page,18,Expert birder (can identify >300 Australian bird species without a field guide),No,No,4,No
Yes,Yes,Yes,19/12/2017,Twice,2527,Private Vehicle,Yes,3,Yes,Yes,2,Holiday flat/unit,2443,Both: made own meals and ate out.,"Fast food, Sit down",4,Yes,100,200,300,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,44,Female,Married,42,Yes,Yes,Yes,Yes,Yes,3,Postgraduate,Employed - part time,Australian Twitchers Facebook page,20,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,9,Yes
Yes,Yes,Yes,27/12/2017,Once,2261,Private Vehicle,Yes,2,Yes,No,,,,Made own meals,,,Yes,$35,,,,"BirdLife Australia, Local birding club, NSW Birding",1-3 times,Yes,No,38,Male,Married,50,Yes,Yes,No,No,No,3,High School,Self-employed,"Other Facebook page, Other",3,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,7,Yes
Yes,Yes,Yes,21/12/2017,Once,2505,Private Vehicle,No,,Yes,Yes,1,Slept in car,,Both: made own meals and ate out.,Fast food,2,Yes,110,20,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,54,Male,Married,19,Yes,Yes,No,No,No,4,High School,Employed - full time,Australian Twitchers Facebook page,10,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),Yes,No,4,Yes
Yes,Yes,Yes,16/02/2018,Once,2478,Private Vehicle,Yes,3,Yes,Yes,1,Caravan Park Cabin,2430,Both: made own meals and ate out.,"Fast food, Sit down",2,Yes,$120,$40,$46,,BirdLife Australia,1-3 times,Yes,No,52,Male,Single,,Yes,Yes,No,No,No,5,University,Employed - full time,Australian Twitchers Facebook page,15,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,5,Yes
Yes,Yes,Yes,3/01/2018,Once,4031,Private Vehicle,Yes,2,No,Yes,1,Hotel/Motel,2430,Ate out,"Fast food, Sit down",5,Yes,$70,$70,$60,,BirdLife Australia,1-3 times,Yes,No,49,Male,Single,40,Yes,No,No,No,No,1,Postgraduate,Employed - full time,Birding Aus Listservs,11,Expert birder (can identify >300 Australian bird species without a field guide),No,No,4,No
Yes,Yes,Yes,7/03/2018,Once,870,"Rental Vehicle, Plane, Train",No,,No,Yes,2,Holiday flat/unit,2430,Ate out,Sit down,7,Yes,60,200,270,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,36,Male,Single,40,Yes,Yes,No,No,No,9,University,Employed - full time,Australian Twitchers Facebook page,31,Expert birder (can identify >300 Australian bird species without a field guide),No,No,0,Yes
Yes,Yes,Yes,10/02/2018,Once,6009,Rental Vehicle,No,,Yes,Yes,2,Hotel/Motel,2444,Ate out,Fast food,2,No,200,100,80,400,BirdLife Australia,1-3 times,Yes,No,59,Male,Single,,No,No,No,No,No,1.5,Postgraduate,Retired,Australian Twitchers Facebook page,30,Expert birder (can identify >300 Australian bird species without a field guide),No,No,0,Yes
Yes,Yes,Yes,30/12/2017,Once,2904,Private Vehicle,No,,Yes,Yes,1,Hotel/Motel,2430,Both: made own meals and ate out.,Fast food,2,Yes,100,25,120,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,65,Female,Married,1,Yes,Yes,Yes,Yes,Yes,2,Postgraduate,Retired,Australian Twitchers Facebook page,25,Expert birder (can identify >300 Australian bird species without a field guide),No,No,2,No
Yes,Yes,Yes,28/02/2018,Once,2157,Private Vehicle,No,,Yes,Yes,1,Hotel/Motel,2428,Ate out,Sit down,3,Yes,,,,,I don't belong to any type of bird-related organization,Never,Yes,No,57,Female,Single,,No,No,No,No,No,3,University,Unemployed,Australian Twitchers Facebook page,30,Expert birder (can identify >300 Australian bird species without a field guide),No,No,0,No
Yes,Yes,Yes,13/01/2018,Once,2032,Private Vehicle,Yes,3,Yes,No,,,,Made own meals,,,Yes,58,12,0,0,"BirdLife Australia, Local birding club, Professional ornithological Society",3-7 times,No,No,26,Male,Married,25,Yes,Yes,Yes,Yes,No,2.5,Postgraduate,Student,"Australian Twitchers Facebook page, Text/phone call",9,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,11,No
